Subtotal Area	LISA REMMER	JOSEPH C ROBERTS	STEPHEN WAID	LEO LACAYO	RYAN LAM	CHRISTIAN FOSTER	JOSH YORK	EVE DEL CASTELLO	CHRIS WARD KLINE	ERIN SMITH	LARRY MARSO	NICOLE GARAY	CALE GARVERICK	KRISTA GARVERICK	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	2,614	1,980	1,963	1,703	2,148	1,825	1,961	1,508	1,487	2,924	1,869	1,913	2,461	1,897	14,749	7,087	0	15	49,525	28,267	14
All Precincts - Election Day	612	482	427	436	492	415	425	344	332	656	404	443	560	414	2,805	1,699	0	5	12,178	6,456	14
All Precincts - Vote By Mail	2,002	1,498	1,536	1,267	1,656	1,410	1,536	1,164	1,155	2,268	1,465	1,470	1,901	1,483	11,944	5,388	0	10	37,347	21,811	0
Precinct 1141 - Vote By Mail	7	5	5	11	7	7	7	7	3	8	5	4	6	7	39	20	0	0	131	89	0
Precinct 1141 - Election Day	3	3	2	4	1	3	1	2	2	2	1	3	1	1	11	8	0	0	59	29	0
Precinct 1141	10	8	7	15	8	10	8	9	5	10	6	7	7	8	50	28	0	0	190	118	0
Precinct 1142 - Vote By Mail	8	8	8	6	9	4	8	11	1	16	7	9	10	7	44	21	0	0	119	112	0
Precinct 1142 - Election Day	3	3	2	2	3	3	1	2	2	4	2	1	3	2	4	7	0	0	44	33	0
Precinct 1142	11	11	10	8	12	7	9	13	3	20	9	10	13	9	48	28	0	0	163	145	0
Precinct 1143 - Vote By Mail	14	14	12	11	10	11	12	9	10	16	10	9	14	12	65	33	0	0	199	164	0
Precinct 1143 - Election Day	2	0	0	2	1	0	1	0	0	1	0	0	0	2	7	7	0	0	68	9	0
Precinct 1143	16	14	12	13	11	11	13	9	10	17	10	9	14	14	72	40	0	0	267	173	0
Precinct 1144 - Vote By Mail	11	7	10	10	11	8	9	6	4	10	8	9	10	8	49	29	0	0	198	121	0
Precinct 1144 - Election Day	2	1	1	3	2	2	1	0	0	1	1	1	2	1	17	9	0	0	81	18	0
Precinct 1144	13	8	11	13	13	10	10	6	4	11	9	10	12	9	66	38	0	0	279	139	0
Precinct 1145 - Vote By Mail	7	6	6	6	4	7	5	2	2	8	6	7	7	5	33	20	0	0	142	78	0
Precinct 1145 - Election Day	2	2	1	2	0	1	2	0	0	1	2	1	2	0	10	2	0	0	6	16	0
Precinct 1145	9	8	7	8	4	8	7	2	2	9	8	8	9	5	43	22	0	0	148	94	0
Precinct 1146 - Vote By Mail	8	4	10	4	6	7	9	4	5	7	6	5	5	7	55	15	0	0	78	87	0
Precinct 1146 - Election Day	3	2	2	3	2	2	2	1	1	4	2	1	1	2	16	9	0	0	71	28	0
Precinct 1146	11	6	12	7	8	9	11	5	6	11	8	6	6	9	71	24	0	0	149	115	0
Precinct 1147 - Vote By Mail	5	6	4	5	6	4	4	4	4	5	5	4	5	6	40	16	0	0	109	67	0
Precinct 1147 - Election Day	2	2	1	2	4	1	1	1	1	3	1	0	0	2	11	10	0	0	89	21	0
Precinct 1147	7	8	5	7	10	5	5	5	5	8	6	4	5	8	51	26	0	0	198	88	0
Precinct 1148 - Vote By Mail	5	4	6	8	12	8	7	4	6	11	3	6	8	5	35	17	0	0	94	93	0
Precinct 1148 - Election Day	5	4	5	5	5	4	4	5	4	6	6	4	4	2	21	16	0	0	113	63	0
Precinct 1148	10	8	11	13	17	12	11	9	10	17	9	10	12	7	56	33	0	0	207	156	0
Precinct 1149 - Vote By Mail	8	2	4	9	12	4	5	5	7	8	7	7	7	4	42	25	0	0	186	89	0
Precinct 1149 - Election Day	0	1	0	1	2	1	0	0	0	2	0	1	1	0	10	6	0	0	57	9	0
Precinct 1149	8	3	4	10	14	5	5	5	7	10	7	8	8	4	52	31	0	0	243	98	0
Precinct 1151 MB - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 1151 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 1151 MB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 1152 - Vote By Mail	9	10	9	9	8	9	11	7	5	12	9	9	8	6	50	19	0	0	88	121	0
Precinct 1152 - Election Day	6	6	3	5	4	4	2	3	2	6	4	4	5	5	13	11	0	0	62	59	0
Precinct 1152	15	16	12	14	12	13	13	10	7	18	13	13	13	11	63	30	0	0	150	180	0
Precinct 1153 - Vote By Mail	7	7	9	13	11	12	7	9	10	9	8	7	9	9	48	25	0	0	148	127	0
Precinct 1153 - Election Day	4	3	4	4	5	5	3	2	3	6	4	4	5	5	17	17	0	0	130	57	0
Precinct 1153	11	10	13	17	16	17	10	11	13	15	12	11	14	14	65	42	0	0	278	184	0
Precinct 1154 MB - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 1154 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 1154 MB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 7001 - Vote By Mail	4	3	5	4	5	3	4	5	2	5	5	4	4	4	27	12	0	0	75	57	0
Precinct 7001 - Election Day	1	1	1	0	0	0	1	0	0	1	1	0	0	1	4	4	0	0	37	7	0
Precinct 7001	5	4	6	4	5	3	5	5	2	6	6	4	4	5	31	16	0	0	112	64	0
Precinct 7002 - Vote By Mail	2	0	1	0	3	2	0	2	2	5	0	1	3	0	32	12	0	0	111	21	0
Precinct 7002 - Election Day	1	2	1	3	1	1	1	1	1	1	0	1	2	1	9	3	0	0	16	17	0
Precinct 7002	3	2	2	3	4	3	1	3	3	6	0	2	5	1	41	15	0	0	127	38	0
