Subtotal Area	JACKIE SPEIER	CRISTINA OSMEÑA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	20,829	4,432	55,344	28,223	31	12	2,822	25,358	97
All Precincts - None	6,699	1,179	55,344	8,950	-19	5	1,046	7,918	40
All Precincts - None	14,130	3,253	55,344	19,273	50	7	1,776	17,440	57
Precinct 1101 - None	67	9	544	83	0	0	7	76	0
Precinct 1101 - None	154	27	544	198	0	0	17	181	0
Precinct 1102 - None	157	17	964	188	-2	0	16	174	0
Precinct 1102 - None	248	59	964	337	1	0	27	309	2
Precinct 1103 - None	120	15	914	163	0	0	25	138	3
Precinct 1103 - None	246	65	914	348	1	0	32	315	4
Precinct 1104/1105 - None	116	32	953	167	0	0	19	148	0
Precinct 1104/1105 - None	213	40	953	292	0	0	36	256	3
Precinct 1106 - None	86	14	740	113	0	0	13	100	0
Precinct 1106 - None	166	50	740	231	0	0	15	216	0
Precinct 1107 - None	83	10	721	101	0	0	7	94	1
Precinct 1107 - None	182	34	721	240	5	0	18	217	1
Precinct 1108 - None	121	12	882	156	-1	0	24	133	0
Precinct 1108 - None	271	31	882	328	3	0	23	302	0
Precinct 1109 - None	98	10	758	124	0	0	16	108	0
Precinct 1109 - None	187	46	758	265	0	0	30	235	2
Precinct 1111 - None	107	9	938	132	-1	0	17	116	0
Precinct 1111 - None	217	60	938	330	3	1	47	279	2
Precinct 1112 - None	70	8	702	96	0	1	17	78	0
Precinct 1112 - None	157	25	702	221	1	0	37	183	1
Precinct 1113 - None	64	9	701	82	0	0	9	73	0
Precinct 1113 - None	167	60	701	272	2	1	41	228	1
Precinct 1114 - None	92	19	915	139	0	0	27	112	1
Precinct 1114 - None	202	53	915	280	0	2	23	255	0
Precinct 1115 - None	77	8	835	97	-1	0	12	86	1
Precinct 1115 - None	177	60	835	279	1	0	41	237	0
Precinct 1116 - None	108	10	842	141	0	0	22	119	1
Precinct 1116 - None	187	42	842	275	1	0	44	230	1
Precinct 1117 - None	99	18	827	138	-3	0	24	117	0
Precinct 1117 - None	183	35	827	240	1	0	20	219	1
Precinct 1118 - None	128	14	974	158	0	0	15	143	1
Precinct 1118 - None	248	54	974	335	0	0	33	302	0
Precinct 1119 - None	74	7	745	97	0	0	15	82	1
Precinct 1119 - None	202	50	745	274	0	0	21	253	1
Precinct 1121 - None	70	22	653	104	-1	0	13	92	0
Precinct 1121 - None	139	46	653	221	2	0	33	186	1
Precinct 1122 - None	54	8	607	69	0	0	5	64	2
Precinct 1122 - None	131	42	607	213	0	0	39	174	1
Precinct 1123 - None	92	11	876	118	0	0	14	104	1
Precinct 1123 - None	176	57	876	254	1	0	20	233	0
Precinct 1124 - None	81	9	773	109	0	0	19	90	0
Precinct 1124 - None	155	25	773	200	-1	0	19	182	2
Precinct 1125 - None	53	12	987	80	-1	0	15	66	1
Precinct 1125 - None	216	70	987	329	-1	1	42	287	1
Precinct 1126 - None	68	9	900	92	-2	0	13	81	4
Precinct 1126 - None	212	47	900	292	1	0	28	263	4
Precinct 1127 - None	107	17	875	141	-1	0	17	125	1
Precinct 1127 - None	176	61	875	277	1	0	39	237	0
Precinct 1128 - None	61	19	813	104	0	0	22	82	2
Precinct 1128 - None	168	50	813	246	0	0	27	219	1
Precinct 1129 - None	86	16	924	120	0	0	16	104	2
Precinct 1129 - None	192	62	924	274	2	0	17	255	1
Precinct 1131 - None	53	18	783	85	0	0	14	71	0
Precinct 1131 - None	205	54	783	288	1	0	27	260	1
Precinct 1132 - None	76	11	910	112	0	0	25	87	0
Precinct 1132 - None	211	71	910	324	0	0	42	282	0
Precinct 1133 - None	71	14	826	99	0	0	14	85	0
Precinct 1133 - None	216	47	826	292	-2	0	30	264	1
Precinct 1134 - None	98	8	727	126	0	1	19	106	0
Precinct 1134 - None	164	38	727	241	0	0	37	204	2
Precinct 1135 - None	54	9	511	71	0	0	8	63	0
Precinct 1135 - None	157	29	511	217	0	0	29	188	2
Precinct 1136 - None	66	17	807	97	0	0	13	84	1
Precinct 1136 - None	204	46	807	287	1	0	34	252	2
