Subtotal Area	JOHN RIZZO	BRIGITTE DAVILA	VICTOR OLIVIERI	THEA SELBY	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
All Precincts	151,356	187,792	101,368	184,956	500,516	372,848	106	2,760	487,621	627,845	2,373
All Precincts - Election Day	50,376	63,202	32,543	58,905	500,516	127,886	80	1,017	176,591	205,810	784
All Precincts - Vote By Mail	100,980	124,590	68,825	126,051	500,516	244,962	26	1,743	311,030	422,035	1,589
Precinct 1101 - Election Day	52	67	32	63	553	126	0	0	163	215	1
Precinct 1101 - Vote By Mail	134	148	93	161	553	266	0	3	256	539	3
Precinct 1102 - Election Day	124	155	82	146	995	266	0	0	291	507	0
Precinct 1102 - Vote By Mail	224	272	164	245	995	480	0	3	529	908	3
Precinct 1103 - Election Day	105	115	70	103	951	246	1	0	341	394	1
Precinct 1103 - Vote By Mail	189	227	127	230	951	445	0	3	554	778	5
Precinct 1104/1105 - Election Day	87	121	65	99	993	249	0	3	366	378	6
Precinct 1104/1105 - Vote By Mail	179	239	128	203	993	414	0	0	489	753	4
Precinct 1106 - Election Day	80	95	59	84	765	191	0	6	247	320	2
Precinct 1106 - Vote By Mail	134	161	101	179	765	343	0	0	452	577	2
Precinct 1107 - Election Day	54	88	61	69	746	163	0	0	217	272	0
Precinct 1107 - Vote By Mail	122	163	104	160	746	336	0	3	454	551	2
Precinct 1108 - Election Day	90	115	58	114	909	232	0	3	314	379	2
Precinct 1108 - Vote By Mail	192	231	151	259	909	438	0	0	479	835	2
Precinct 1109 - Election Day	59	76	47	73	798	166	0	0	242	256	1
Precinct 1109 - Vote By Mail	144	185	131	174	798	365	0	0	459	636	2
Precinct 1111 - Election Day	79	115	67	89	1,002	205	0	3	260	352	2
Precinct 1111 - Vote By Mail	200	220	163	234	1,002	460	0	3	548	829	12
Precinct 1112 - Election Day	59	86	51	66	769	151	0	3	187	263	1
Precinct 1112 - Vote By Mail	131	163	99	171	769	344	0	3	463	566	2
Precinct 1113 - Election Day	50	65	34	51	746	135	0	0	203	202	2
Precinct 1113 - Vote By Mail	148	181	115	176	746	360	0	0	458	622	2
Precinct 1114 - Election Day	70	102	56	75	957	226	0	3	368	307	4
Precinct 1114 - Vote By Mail	178	212	146	194	957	404	0	3	479	730	0
Precinct 1115 - Election Day	62	86	66	72	895	174	0	6	230	286	0
Precinct 1115 - Vote By Mail	130	177	112	180	895	371	0	3	510	600	1
Precinct 1116 - Election Day	71	112	73	101	895	225	0	0	318	357	0
Precinct 1116 - Vote By Mail	153	185	118	164	895	376	0	3	499	626	6
Precinct 1117 - Election Day	48	99	52	89	858	185	0	0	266	289	1
Precinct 1117 - Vote By Mail	134	183	100	171	858	357	0	3	467	601	13
Precinct 1118 - Election Day	81	119	69	86	1,043	213	0	3	274	362	7
Precinct 1118 - Vote By Mail	184	253	145	256	1,043	476	0	3	586	839	1
Precinct 1119 - Election Day	62	87	52	69	791	165	0	0	223	272	2
Precinct 1119 - Vote By Mail	181	225	130	211	791	386	0	0	407	751	4
Precinct 1121 - Election Day	52	83	50	55	691	160	0	0	237	243	3
Precinct 1121 - Vote By Mail	128	143	77	135	691	313	0	0	454	485	2
Precinct 1122 - Election Day	41	55	27	52	632	110	0	3	152	175	0
Precinct 1122 - Vote By Mail	122	142	101	145	632	310	0	0	418	512	2
Precinct 1123 - Election Day	54	94	64	78	915	179	0	3	239	295	5
Precinct 1123 - Vote By Mail	123	185	109	176	915	364	0	0	498	594	1
Precinct 1124 - Election Day	60	82	39	60	819	152	0	6	209	241	0
Precinct 1124 - Vote By Mail	130	169	101	149	819	302	0	0	354	552	3
Precinct 1125 - Election Day	41	77	65	56	1,047	159	0	0	234	243	4
Precinct 1125 - Vote By Mail	183	249	162	214	1,047	466	0	0	583	815	7
Precinct 1126 - Election Day	68	102	75	77	922	191	0	6	242	325	3
Precinct 1126 - Vote By Mail	149	210	132	181	922	400	0	6	507	687	15
Precinct 1127 - Election Day	79	107	59	81	920	200	0	3	270	327	1
Precinct 1127 - Vote By Mail	165	196	147	195	920	382	0	0	443	703	0
Precinct 1128 - Election Day	53	82	50	68	838	154	0	0	207	255	2
Precinct 1128 - Vote By Mail	145	193	130	174	838	362	0	0	441	645	3
Precinct 1129 - Election Day	80	101	78	81	980	227	0	0	336	345	5
Precinct 1129 - Vote By Mail	179	190	141	206	980	416	0	3	527	718	2
Precinct 1131 - Election Day	54	63	52	45	797	132	0	0	182	214	0
Precinct 1131 - Vote By Mail	162	196	136	166	797	371	0	3	445	665	5
Precinct 1132 - Election Day	52	64	57	61	969	179	0	0	297	240	6
Precinct 1132 - Vote By Mail	178	214	137	215	969	427	0	3	530	748	4
Precinct 1133 - Election Day	46	67	50	62	863	161	0	0	256	227	2
Precinct 1133 - Vote By Mail	173	202	131	186	863	410	0	9	526	695	3
Precinct 1134 - Election Day	63	88	53	65	759	170	0	0	237	273	4
Precinct 1134 - Vote By Mail	122	160	91	135	759	318	0	0	437	517	9
Precinct 1135 - Election Day	35	51	24	50	540	87	0	0	101	160	0
